date,location,avg_price_per_sqft,demand_index,interest_rate
2018-04-22,New York,185.39,1.48,3.88
2018-04-23,New York,480.26,1.1,9.17
2018-04-24,Berlin,402.57,1.36,5.44
2018-04-25,Lagos,440.39,0.83,8.2
2018-04-26,Berlin,254.24,0.54,6.57
2018-04-27,Berlin,881.09,1.31,9.4
2018-04-28,Sydney,982.83,0.86,3.03
2018-04-29,Toronto,694.65,1.25,6.74
2018-04-30,Toronto,861.3,0.81,6.87
2018-05-01,Sydney,659.38,1.42,9.53
2018-05-02,New York,61.97,1.4,5.97
2018-05-03,Dubai,115.03,1.35,4.22
2018-05-04,Singapore,275.92,1.1,6.22
2018-05-05,Singapore,125.82,0.85,6.79
2018-05-06,Toronto,837.44,0.87,5.56
2018-05-07,Sydney,254.81,0.9,7.47
2018-05-08,New York,253.17,1.1,2.28
2018-05-09,London,558.03,1.11,5.54
2018-05-10,Sydney,268.17,1.2,8.42
2018-05-11,Singapore,640.6,0.63,6.3
2018-05-12,Lagos,842.83,0.79,2.33
2018-05-13,New York,930.34,0.65,2.76
2018-05-14,New York,528.63,0.77,2.43
2018-05-15,Toronto,66.22,0.72,8.21
2018-05-16,Berlin,146.06,1.46,6.97
2018-05-17,Sydney,813.11,1.25,3.26
2018-05-18,Berlin,994.09,1.34,8.31
2018-05-19,Sydney,251.99,0.84,6.75
2018-05-20,Toronto,350.05,1.46,7.57
2018-05-21,Singapore,815.45,1.26,3.68
2018-05-22,Berlin,262.95,0.52,2.45
2018-05-23,London,756.83,0.59,5.67
2018-05-24,Sydney,257.87,0.61,2.73
2018-05-25,Singapore,288.14,1.27,3.64
2018-05-26,Toronto,177.85,0.95,9.33
2018-05-27,Dubai,474.83,1.21,4.05
2018-05-28,Dubai,712.43,1.14,7.68
2018-05-29,Toronto,143.95,0.68,6.69
2018-05-30,Lagos,913.3,0.94,7.02
2018-05-31,Singapore,202.64,0.92,3.27
2018-06-01,Dubai,490.99,1.48,2.59
2018-06-02,Berlin,940.42,1.45,9.79
2018-06-03,Toronto,728.82,0.56,8.2
2018-06-04,Sydney,341.26,0.63,7.99
2018-06-05,Lagos,817.64,0.65,1.4
2018-06-06,Toronto,819.31,1.13,3.33
2018-06-07,Dubai,845.94,1.34,1.26
2018-06-08,Toronto,69.47,0.6,6.68
2018-06-09,Toronto,209.38,0.8,4.32
2018-06-10,Dubai,872.29,1.09,2.78
2018-06-11,London,753.38,1.18,3.53
2018-06-12,Toronto,554.27,1.37,7.44
2018-06-13,Berlin,969.93,0.65,7.91
2018-06-14,Singapore,987.25,0.71,4.54
2018-06-15,Sydney,811.39,1.03,6.23
2018-06-16,Lagos,281.11,0.86,7.73
2018-06-17,Singapore,436.36,1.38,4.54
2018-06-18,Lagos,294.54,1.22,3.85
2018-06-19,Dubai,189.36,0.76,2.01
2018-06-20,Dubai,439.18,1.17,5.11
2018-06-21,Lagos,980.27,1.45,4.24
2018-06-22,London,230.71,0.83,8.31
2018-06-23,London,557.02,1.35,8.87
2018-06-24,Sydney,397.69,0.75,9.77
2018-06-25,Lagos,845.99,0.56,9.95
2018-06-26,New York,173.47,0.66,5.23
2018-06-27,New York,848.39,1.23,9.77
2018-06-28,New York,671.48,1.5,5.63
2018-06-29,Lagos,727.24,1.02,3.18
2018-06-30,Sydney,920.51,0.74,7.0
2018-07-01,Toronto,536.64,1.25,3.93
2018-07-02,New York,678.06,0.87,4.97
2018-07-03,Berlin,590.96,0.65,8.52
2018-07-04,Dubai,197.0,1.38,8.39
2018-07-05,Sydney,79.63,1.13,3.74
2018-07-06,Berlin,398.34,1.46,5.0
2018-07-07,Sydney,688.77,1.15,3.22
2018-07-08,Singapore,198.88,1.2,2.77
2018-07-09,Berlin,825.95,0.79,7.2
2018-07-10,Singapore,839.91,0.72,7.52
2018-07-11,Berlin,653.04,0.74,7.53
2018-07-12,Sydney,480.25,0.74,2.18
2018-07-13,Sydney,649.23,0.95,3.72
2018-07-14,Sydney,481.79,0.98,1.17
2018-07-15,Sydney,912.26,0.54,6.84
2018-07-16,Singapore,812.57,0.83,6.09
2018-07-17,Berlin,892.16,0.6,5.36
2018-07-18,Singapore,684.79,0.6,4.82
2018-07-19,Lagos,399.0,0.59,5.14
2018-07-20,New York,635.56,0.51,8.86
2018-07-21,New York,156.52,0.94,3.45
2018-07-22,Sydney,431.2,0.7,1.16
2018-07-23,Sydney,360.66,0.51,5.45
2018-07-24,London,182.22,1.41,3.07
2018-07-25,Sydney,747.64,0.96,3.97
2018-07-26,London,543.25,1.35,2.94
2018-07-27,Dubai,109.06,0.96,9.1
2018-07-28,Singapore,799.14,1.37,9.8
2018-07-29,Lagos,404.02,0.85,6.67
2018-07-30,Dubai,356.35,1.18,9.32
2018-07-31,Lagos,51.68,1.45,2.81
2018-08-01,London,472.25,0.95,4.34
2018-08-02,Sydney,734.63,1.45,1.96
2018-08-03,Singapore,602.44,1.13,4.07
2018-08-04,New York,329.61,0.73,9.83
2018-08-05,Lagos,171.6,0.7,3.32
2018-08-06,Lagos,671.03,0.98,9.36
2018-08-07,Dubai,252.62,1.37,4.08
2018-08-08,Singapore,967.28,1.36,9.65
2018-08-09,Sydney,516.79,1.18,1.06
2018-08-10,Lagos,480.37,1.35,6.35
2018-08-11,London,178.44,0.64,5.25
2018-08-12,New York,767.19,1.34,8.06
2018-08-13,Sydney,744.81,0.83,8.98
2018-08-14,Lagos,635.65,1.0,6.32
2018-08-15,Lagos,186.55,1.04,7.19
2018-08-16,London,576.77,1.33,2.16
2018-08-17,Lagos,378.08,0.92,4.92
2018-08-18,Singapore,693.55,1.02,5.13
2018-08-19,Singapore,741.23,1.42,8.67
2018-08-20,Singapore,757.27,1.17,9.02
2018-08-21,New York,753.39,0.62,6.22
2018-08-22,Lagos,326.28,0.68,1.0
2018-08-23,Singapore,323.54,1.05,8.12
2018-08-24,Singapore,620.84,0.81,8.9
2018-08-25,London,487.38,1.12,6.58
2018-08-26,Lagos,151.88,0.9,8.88
2018-08-27,Dubai,88.26,0.79,3.79
2018-08-28,Toronto,572.07,0.91,3.58
2018-08-29,Berlin,403.34,0.98,6.81
2018-08-30,Sydney,468.9,0.77,4.21
2018-08-31,Toronto,677.62,1.4,7.15
2018-09-01,New York,61.23,0.82,5.12
2018-09-02,Singapore,348.57,0.64,7.65
2018-09-03,Lagos,810.33,0.77,1.75
2018-09-04,London,390.36,0.85,7.68
2018-09-05,Toronto,501.35,0.59,3.75
2018-09-06,New York,815.19,1.0,2.41
2018-09-07,Berlin,300.72,1.05,2.97
2018-09-08,Toronto,975.58,0.79,1.47
2018-09-09,Toronto,540.12,1.17,8.54
2018-09-10,London,699.1,0.83,9.67
2018-09-11,Toronto,338.18,1.27,7.22
2018-09-12,Singapore,678.76,1.45,3.17
2018-09-13,Dubai,873.82,0.74,8.08
2018-09-14,Lagos,216.21,1.37,7.26
2018-09-15,Singapore,575.93,0.99,1.43
2018-09-16,Singapore,109.55,0.71,2.58
2018-09-17,Sydney,613.23,1.35,9.26
2018-09-18,Lagos,551.26,0.7,4.33
2018-09-19,Dubai,842.45,0.8,1.38
2018-09-20,Lagos,952.83,0.97,8.13
2018-09-21,Lagos,946.62,0.64,1.32
2018-09-22,Dubai,479.84,0.51,4.3
2018-09-23,Dubai,536.19,0.57,9.84
2018-09-24,Sydney,663.47,0.85,9.78
2018-09-25,Singapore,437.21,1.46,8.53
2018-09-26,New York,482.82,1.43,4.15
2018-09-27,Sydney,695.49,0.6,5.93
2018-09-28,London,279.58,0.94,7.57
2018-09-29,Berlin,791.13,0.55,4.98
2018-09-30,New York,65.92,1.4,9.49
2018-10-01,Berlin,858.41,1.07,8.6
2018-10-02,Toronto,652.5,1.42,9.03
2018-10-03,Sydney,192.43,1.4,5.11
2018-10-04,Sydney,678.22,1.27,9.76
2018-10-05,New York,414.64,1.49,2.37
2018-10-06,Toronto,741.67,1.1,1.03
2018-10-07,Singapore,360.4,0.61,1.71
2018-10-08,Berlin,208.68,0.8,2.63
2018-10-09,Dubai,782.58,0.71,3.79
2018-10-10,Berlin,360.63,1.46,6.36
2018-10-11,London,753.01,0.56,4.18
2018-10-12,Lagos,911.56,1.07,4.06
2018-10-13,Dubai,51.66,0.99,9.79
2018-10-14,Berlin,482.63,0.8,2.92
2018-10-15,Berlin,630.25,0.91,9.97
2018-10-16,Berlin,609.31,1.5,4.53
2018-10-17,London,377.63,1.19,9.49
2018-10-18,London,650.13,1.0,3.49
2018-10-19,Toronto,972.02,1.47,5.44
2018-10-20,Berlin,590.22,1.25,8.11
2018-10-21,Toronto,602.82,0.89,7.34
2018-10-22,Toronto,558.09,1.28,6.65
2018-10-23,New York,357.86,1.46,8.94
2018-10-24,Toronto,949.11,1.37,9.55
2018-10-25,Singapore,356.89,0.62,2.85
2018-10-26,Dubai,948.12,0.63,1.93
2018-10-27,Dubai,68.11,1.17,4.79
2018-10-28,Lagos,405.75,1.02,1.17
2018-10-29,Toronto,805.49,1.33,4.09
2018-10-30,Sydney,150.74,1.05,8.41
2018-10-31,New York,107.95,0.67,1.34
2018-11-01,Toronto,652.37,1.05,1.28
2018-11-02,Singapore,326.35,0.59,2.81
2018-11-03,Berlin,601.97,0.72,9.95
2018-11-04,New York,928.93,1.46,1.81
2018-11-05,Toronto,576.76,1.01,3.56
2018-11-06,Berlin,842.06,1.01,6.86
2018-11-07,New York,976.59,0.64,4.74
2018-11-08,Berlin,915.04,0.78,8.92
2018-11-09,New York,209.03,0.89,4.03
2018-11-10,Toronto,158.67,0.99,5.93
2018-11-11,Toronto,438.83,0.8,6.63
2018-11-12,London,238.65,0.96,2.7
2018-11-13,Berlin,431.66,0.53,2.09
2018-11-14,Singapore,735.72,0.52,8.93
2018-11-15,London,122.09,1.03,4.29
2018-11-16,Lagos,766.41,1.17,5.6
2018-11-17,Singapore,197.02,0.72,3.12
2018-11-18,Sydney,248.37,1.48,5.47
2018-11-19,Berlin,934.88,1.04,4.05
2018-11-20,Lagos,408.34,0.83,8.51
2018-11-21,Singapore,177.51,0.73,7.59
2018-11-22,Dubai,743.91,0.93,7.18
2018-11-23,Singapore,441.5,1.07,5.22
2018-11-24,Sydney,583.67,1.25,2.06
2018-11-25,New York,901.62,0.56,2.83
2018-11-26,Lagos,394.54,0.64,9.7
2018-11-27,Berlin,271.23,1.04,1.34
2018-11-28,Sydney,326.88,1.33,7.4
2018-11-29,London,214.97,0.73,3.71
2018-11-30,Berlin,954.98,1.29,10.0
2018-12-01,New York,889.66,1.45,5.81
2018-12-02,Sydney,907.88,0.97,6.31
2018-12-03,Dubai,886.05,1.33,1.65
2018-12-04,Toronto,98.88,1.06,5.7
2018-12-05,London,857.17,1.47,4.98
2018-12-06,London,556.0,1.34,5.79
2018-12-07,Dubai,82.95,0.55,5.68
2018-12-08,Singapore,640.61,0.91,9.08
2018-12-09,Sydney,98.3,0.85,7.71
2018-12-10,Dubai,357.2,1.4,9.11
2018-12-11,Singapore,660.51,1.09,3.68
2018-12-12,Sydney,889.69,1.06,4.72
2018-12-13,Lagos,819.21,1.29,5.42
2018-12-14,New York,971.23,1.36,8.91
2018-12-15,Singapore,60.02,1.02,3.8
2018-12-16,Dubai,276.83,0.86,6.72
2018-12-17,Sydney,984.12,0.82,5.29
2018-12-18,London,894.69,1.18,8.51
2018-12-19,London,538.97,0.62,6.42
2018-12-20,Singapore,479.85,0.55,9.2
2018-12-21,Singapore,558.45,0.84,1.96
2018-12-22,Sydney,927.86,1.46,1.06
2018-12-23,Dubai,679.34,1.09,6.03
2018-12-24,New York,202.11,0.77,3.27
2018-12-25,Berlin,401.54,0.63,5.55
2018-12-26,Sydney,726.09,0.91,8.53
2018-12-27,Toronto,109.34,1.08,9.33
2018-12-28,Singapore,471.08,1.09,9.45
2018-12-29,Sydney,882.11,1.23,9.22
2018-12-30,Lagos,530.77,0.85,1.47
2018-12-31,London,579.67,1.0,6.43
2019-01-01,New York,209.63,0.75,4.66
2019-01-02,Dubai,179.01,1.4,8.38
2019-01-03,Dubai,69.4,0.73,2.71
2019-01-04,Sydney,516.24,0.7,8.44
2019-01-05,Dubai,937.31,1.06,9.07
2019-01-06,Singapore,937.3,1.13,2.37
2019-01-07,Dubai,469.09,0.58,5.2
2019-01-08,Sydney,978.18,1.08,5.24
2019-01-09,Sydney,268.05,1.09,5.42
2019-01-10,Sydney,749.48,1.1,2.83
2019-01-11,Lagos,665.6,0.83,5.0
2019-01-12,London,592.43,1.17,5.28
2019-01-13,Lagos,630.4,0.56,7.95
2019-01-14,Toronto,582.12,1.2,1.7
2019-01-15,Singapore,76.15,0.93,1.53
2019-01-16,Dubai,146.41,1.08,2.76
2019-01-17,Lagos,198.26,1.31,9.5
2019-01-18,Toronto,292.51,1.32,4.51
2019-01-19,Singapore,377.19,1.23,2.72
2019-01-20,Dubai,392.95,0.65,2.8
2019-01-21,London,564.49,1.15,5.97
2019-01-22,Berlin,507.81,0.98,3.65
2019-01-23,New York,272.3,0.75,1.82
2019-01-24,Dubai,155.68,0.89,8.73
2019-01-25,New York,641.38,1.09,5.52
2019-01-26,Sydney,662.65,0.99,9.65
2019-01-27,Singapore,467.89,1.17,6.36
2019-01-28,Sydney,250.15,0.74,7.15
2019-01-29,London,914.24,1.08,7.54
2019-01-30,Singapore,163.59,1.03,2.12
2019-01-31,Lagos,855.58,1.25,8.28
2019-02-01,London,776.76,0.99,2.5
2019-02-02,Toronto,709.28,1.26,1.55
2019-02-03,Berlin,839.69,1.09,8.74
2019-02-04,London,122.64,0.7,4.12
2019-02-05,Sydney,141.79,0.79,6.32
2019-02-06,Sydney,992.9,0.7,6.49
2019-02-07,Toronto,849.38,0.86,8.59
2019-02-08,Singapore,90.92,1.39,2.91
2019-02-09,Sydney,289.26,1.08,8.51
2019-02-10,Toronto,338.86,0.58,6.29
2019-02-11,Singapore,917.67,0.85,2.45
2019-02-12,Berlin,544.29,0.51,6.86
2019-02-13,Singapore,622.32,1.3,3.76
2019-02-14,New York,999.8,0.82,7.19
2019-02-15,London,52.57,1.1,6.5
2019-02-16,Singapore,710.85,1.45,1.52
2019-02-17,Sydney,923.55,0.91,8.95
2019-02-18,London,301.68,0.64,6.45
2019-02-19,Dubai,594.17,1.27,3.99
2019-02-20,London,248.93,0.64,2.35
2019-02-21,New York,118.91,0.96,6.68
2019-02-22,Toronto,537.55,0.86,2.68
2019-02-23,Sydney,327.21,1.21,2.33
2019-02-24,London,64.6,0.95,4.79
2019-02-25,Toronto,649.93,0.62,4.19
2019-02-26,Toronto,585.73,1.06,2.91
2019-02-27,Lagos,65.31,0.96,9.36
2019-02-28,New York,956.51,1.31,3.77
2019-03-01,Lagos,907.81,0.7,2.32
2019-03-02,Toronto,777.59,0.95,5.48
2019-03-03,London,187.38,1.43,7.66
2019-03-04,Dubai,318.63,1.47,1.99
2019-03-05,Singapore,601.89,1.08,2.88
2019-03-06,Berlin,350.8,0.63,4.61
2019-03-07,Lagos,669.25,1.37,4.13
2019-03-08,Dubai,65.14,0.74,5.24
2019-03-09,Lagos,622.88,0.72,1.04
2019-03-10,Berlin,965.29,1.27,3.35
2019-03-11,Sydney,523.18,0.77,7.68
2019-03-12,New York,594.97,0.63,8.29
2019-03-13,Sydney,154.1,1.25,4.11
2019-03-14,Dubai,269.44,0.54,6.9
2019-03-15,London,159.31,0.68,8.1
2019-03-16,London,957.26,0.9,3.6
2019-03-17,Lagos,519.26,0.7,9.87
2019-03-18,Singapore,669.85,1.45,1.25
2019-03-19,Toronto,521.26,0.78,4.0
2019-03-20,London,129.34,1.32,8.71
2019-03-21,Dubai,201.89,0.76,6.45
2019-03-22,New York,252.74,0.57,7.55
2019-03-23,New York,509.77,1.43,7.25
2019-03-24,Toronto,177.7,1.29,3.04
2019-03-25,Dubai,941.23,1.15,7.78
2019-03-26,London,666.85,0.72,9.37
2019-03-27,Sydney,169.68,1.0,2.69
2019-03-28,New York,572.42,0.64,2.08
2019-03-29,New York,616.2,1.34,6.67
2019-03-30,Dubai,721.23,1.04,4.83
2019-03-31,Singapore,867.22,1.17,9.83
2019-04-01,Sydney,320.86,1.22,4.15
2019-04-02,New York,658.21,1.06,5.04
2019-04-03,Dubai,928.49,0.9,2.94
2019-04-04,Berlin,498.96,1.41,6.55
2019-04-05,Berlin,779.7,1.42,9.92
2019-04-06,Lagos,120.26,0.76,2.68
2019-04-07,Dubai,847.64,1.31,1.73
2019-04-08,New York,320.38,1.25,7.25
2019-04-09,Sydney,57.5,0.59,4.33
2019-04-10,Lagos,919.64,0.75,4.28
2019-04-11,London,553.93,0.69,5.04
2019-04-12,Dubai,218.45,1.28,9.24
2019-04-13,New York,226.93,1.14,8.75
2019-04-14,London,814.96,0.67,1.96
2019-04-15,Lagos,901.81,0.86,5.2
2019-04-16,Singapore,437.62,0.82,7.98
2019-04-17,Berlin,605.68,1.26,1.04
2019-04-18,New York,120.31,0.66,8.13
2019-04-19,New York,575.76,1.02,8.07
2019-04-20,Lagos,462.01,1.44,8.3
2019-04-21,Dubai,819.07,0.98,7.96
2019-04-22,Toronto,829.85,1.46,7.59
2019-04-23,Singapore,810.19,0.63,3.84
2019-04-24,Lagos,781.35,1.5,7.18
2019-04-25,London,461.21,1.28,7.67
2019-04-26,London,923.8,1.15,9.82
2019-04-27,Dubai,67.2,0.54,7.28
2019-04-28,Toronto,548.78,1.33,1.38
2019-04-29,Singapore,849.76,1.24,7.4
2019-04-30,London,209.69,1.07,4.78
2019-05-01,New York,200.25,1.03,8.86
2019-05-02,Dubai,100.73,0.65,6.52
2019-05-03,Lagos,468.5,0.58,7.44
2019-05-04,Toronto,610.0,0.51,5.05
2019-05-05,Singapore,249.62,1.35,6.54
2019-05-06,London,97.9,0.63,2.2
2019-05-07,Sydney,876.06,0.83,8.14
2019-05-08,Berlin,127.79,0.96,6.48
2019-05-09,Toronto,399.73,1.04,4.54
2019-05-10,Singapore,494.94,0.69,1.37
2019-05-11,Toronto,244.77,1.4,9.85
2019-05-12,Sydney,203.24,0.96,4.36
2019-05-13,London,174.87,1.14,5.13
2019-05-14,Dubai,898.04,1.04,1.97
2019-05-15,Toronto,890.42,1.4,8.85
2019-05-16,Singapore,982.86,0.62,3.5
2019-05-17,Singapore,840.75,1.05,6.26
2019-05-18,Singapore,221.75,1.45,5.36
2019-05-19,London,394.27,1.37,5.91
2019-05-20,Dubai,129.27,0.55,2.05
2019-05-21,Sydney,595.32,0.7,1.96
2019-05-22,Lagos,310.42,1.17,1.78
2019-05-23,Singapore,620.87,1.11,2.82
2019-05-24,Singapore,389.1,0.52,2.43
2019-05-25,Toronto,231.56,0.75,9.47
2019-05-26,New York,202.78,0.78,9.42
2019-05-27,Sydney,464.25,1.43,9.24
2019-05-28,Toronto,90.8,1.32,8.81
2019-05-29,Lagos,556.36,0.5,5.3
2019-05-30,Sydney,117.19,1.16,9.69
2019-05-31,Singapore,877.79,0.65,8.3
2019-06-01,New York,976.62,1.03,7.89
2019-06-02,Singapore,319.99,0.57,7.14
2019-06-03,Sydney,292.64,1.09,1.48
2019-06-04,New York,543.56,1.06,6.03
2019-06-05,Dubai,79.15,1.39,1.3
2019-06-06,London,336.76,1.09,8.09
2019-06-07,Lagos,807.25,0.94,4.02
2019-06-08,Dubai,701.52,0.91,6.43
2019-06-09,Sydney,447.32,1.28,4.53
2019-06-10,Sydney,317.33,0.74,3.67
2019-06-11,Toronto,638.44,0.82,4.51
2019-06-12,London,757.66,1.07,8.51
2019-06-13,Singapore,963.72,0.79,2.71
2019-06-14,Toronto,75.07,1.1,8.68
2019-06-15,London,308.78,1.06,1.26
2019-06-16,Sydney,332.22,0.73,3.38
2019-06-17,Lagos,479.45,0.76,2.93
2019-06-18,London,966.78,0.94,1.66
2019-06-19,Dubai,477.16,1.41,5.61
2019-06-20,Singapore,768.78,0.79,7.18
2019-06-21,Lagos,312.98,1.44,9.87
2019-06-22,Berlin,648.03,0.66,9.34
2019-06-23,New York,216.13,1.05,4.28
2019-06-24,Sydney,494.64,0.88,1.21
2019-06-25,Lagos,371.33,1.4,2.38
2019-06-26,Berlin,613.22,1.41,7.11
2019-06-27,Lagos,184.16,0.72,3.25
2019-06-28,Toronto,240.96,1.4,3.19
2019-06-29,New York,938.79,0.78,6.11
2019-06-30,Lagos,974.19,0.96,6.95
2019-07-01,Dubai,664.38,0.75,6.49
2019-07-02,Sydney,711.08,0.66,7.27
2019-07-03,New York,670.7,1.12,3.24
2019-07-04,Toronto,104.37,0.92,3.97
2019-07-05,Singapore,87.28,0.98,2.71
2019-07-06,Lagos,851.43,1.14,1.44
2019-07-07,Sydney,473.46,1.01,7.48
2019-07-08,London,762.77,0.96,1.87
2019-07-09,Toronto,233.52,1.35,4.06
2019-07-10,Sydney,956.92,1.39,3.1
2019-07-11,London,562.44,1.01,9.73
2019-07-12,Dubai,208.95,1.47,8.92
2019-07-13,Sydney,642.32,0.52,8.57
2019-07-14,Toronto,289.57,0.59,5.23
2019-07-15,Toronto,66.49,0.66,9.84
2019-07-16,Lagos,53.13,0.6,5.36
2019-07-17,Sydney,917.39,1.11,5.29
2019-07-18,Berlin,218.11,0.92,1.08
2019-07-19,Berlin,541.21,1.47,1.1
2019-07-20,Berlin,895.46,0.87,2.94
2019-07-21,London,929.17,1.38,8.19
2019-07-22,London,314.85,1.05,2.64
2019-07-23,London,72.01,0.96,9.39
2019-07-24,Lagos,714.18,0.91,4.59
2019-07-25,Sydney,904.51,1.3,5.62
2019-07-26,Singapore,377.87,0.65,7.91
2019-07-27,Toronto,902.92,1.25,3.75
2019-07-28,New York,484.83,1.39,4.1
2019-07-29,Toronto,831.53,1.42,7.09
2019-07-30,Lagos,483.22,0.69,5.06
2019-07-31,Dubai,841.85,1.2,6.71
2019-08-01,Toronto,183.39,0.7,2.37
2019-08-02,Lagos,747.47,0.75,2.87
2019-08-03,New York,566.91,1.13,9.02
2019-08-04,Toronto,91.97,1.22,6.76
2019-08-05,Toronto,192.12,0.59,7.29
2019-08-06,Sydney,344.53,0.54,6.81
2019-08-07,Dubai,285.64,1.48,7.4
2019-08-08,New York,455.9,1.27,5.4
2019-08-09,Lagos,80.74,0.78,3.9
2019-08-10,Singapore,617.49,1.11,7.11
2019-08-11,Dubai,258.25,0.89,4.63
2019-08-12,Lagos,745.78,0.8,6.51
2019-08-13,Sydney,765.05,1.47,2.19
2019-08-14,Berlin,665.13,0.96,8.19
2019-08-15,Dubai,586.91,0.64,1.11
2019-08-16,Toronto,285.12,1.32,6.37
2019-08-17,Sydney,268.5,0.61,2.07
2019-08-18,Sydney,525.75,0.72,5.24
