transaction_id,property_id,customer_id,transaction_type,transaction_date,amount,payment_method
TRX000076,PROP000581,CUST001681,Rent,2024-05-17,1543251.22,Mortgage
TRX000077,PROP000141,CUST002304,Rent,2022-02-20,668714.83,Transfer
TRX000078,PROP000042,CUST001761,Rent,2024-09-02,1121955.3,Cash
TRX000079,PROP000152,CUST000838,Rent,2018-06-06,302166.72,Transfer
TRX000080,PROP002270,CUST000316,Rent,2024-11-07,780653.18,Cash
TRX000081,PROP000302,CUST002788,Sale,2022-10-25,1450399.65,Mortgage
TRX000082,PROP001939,CUST002214,Sale,2019-11-23,1261240.96,Mortgage
TRX000083,PROP001535,CUST000243,Rent,2024-11-25,1113654.6,Cash
TRX000084,PROP002081,CUST002828,Rent,2023-06-22,1356128.4,Mortgage
TRX000085,PROP002377,CUST002429,Sale,2022-04-05,364719.78,Cash
TRX000086,PROP000530,CUST002451,Sale,2021-09-02,1973836.96,Cash
TRX000087,PROP002354,CUST002639,Rent,2020-05-02,614027.92,Cash
TRX000088,PROP001944,CUST001457,Sale,2018-09-01,700063.47,Cash
TRX000089,PROP000348,CUST000155,Rent,2018-06-02,1716779.13,Mortgage
TRX000090,PROP001894,CUST001936,Rent,2020-06-05,1544209.59,Mortgage
TRX000091,PROP002143,CUST002150,Sale,2019-05-19,1050027.03,Cash
TRX000092,PROP001600,CUST001384,Sale,2022-01-09,1339564.89,Cash
TRX000093,PROP001489,CUST000263,Sale,2019-04-25,1194776.07,Cash
TRX000094,PROP002452,CUST001171,Sale,2023-01-04,336442.04,Mortgage
TRX000095,PROP000821,CUST002789,Rent,2020-06-12,185143.36,Mortgage
TRX000096,PROP002382,CUST000773,Sale,2019-08-07,375839.52,Transfer
TRX000097,PROP002968,CUST002598,Rent,2019-08-29,1598202.46,Cash
TRX000098,PROP001441,CUST001807,Rent,2019-12-16,1901655.43,Mortgage
TRX000099,PROP000514,CUST000088,Rent,2018-12-20,1104505.65,Mortgage
TRX000100,PROP001088,CUST002069,Rent,2019-09-18,1854384.38,Transfer
TRX000101,PROP002296,CUST000449,Sale,2018-06-21,1990172.27,Mortgage
TRX000102,PROP000932,CUST001819,Sale,2019-11-05,948320.28,Transfer
TRX000103,PROP002881,CUST001916,Rent,2023-10-06,741799.8,Transfer
TRX000104,PROP002514,CUST002746,Rent,2024-10-17,1539111.79,Cash
TRX000105,PROP000543,CUST002771,Rent,2023-02-20,263127.61,Cash
TRX000106,PROP000524,CUST000738,Rent,2018-06-13,61918.91,Mortgage
TRX000107,PROP001282,CUST001459,Rent,2019-11-11,1325708.0,Transfer
TRX000108,PROP001678,CUST002707,Rent,2021-07-05,1407305.98,Transfer
TRX000109,PROP002007,CUST001495,Rent,2021-02-26,823092.18,Mortgage
TRX000110,PROP001729,CUST000602,Sale,2023-01-09,1350889.7,Cash
TRX000111,PROP001401,CUST001561,Rent,2022-07-03,554126.01,Transfer
TRX000112,PROP000188,CUST000817,Sale,2022-06-30,1424057.12,Cash
TRX000113,PROP001149,CUST001617,Rent,2024-10-29,1888849.66,Mortgage
TRX000114,PROP001013,CUST000688,Rent,2024-04-22,1185889.25,Cash
TRX000115,PROP000907,CUST002861,Rent,2018-09-03,1869012.47,Cash
TRX000116,PROP000274,CUST000649,Sale,2023-11-16,478371.52,Transfer
TRX000117,PROP001400,CUST000312,Sale,2024-06-05,1845688.69,Cash
TRX000118,PROP001066,CUST000322,Sale,2019-10-06,1240830.54,Mortgage
TRX000119,PROP002431,CUST002258,Sale,2024-08-20,173296.95,Transfer
TRX000120,PROP002693,CUST001442,Sale,2023-03-27,148904.07,Mortgage
TRX000121,PROP002383,CUST002397,Sale,2018-08-04,505187.41,Cash
TRX000122,PROP000396,CUST000223,Rent,2021-03-02,62818.71,Mortgage
TRX000123,PROP000215,CUST002791,Sale,2024-03-09,729363.14,Cash
TRX000124,PROP001518,CUST002204,Sale,2024-12-30,680903.17,Mortgage
TRX000125,PROP002506,CUST002789,Sale,2019-04-26,1262819.67,Cash
TRX000126,PROP002109,CUST000302,Sale,2018-11-06,885182.81,Mortgage
TRX000127,PROP002263,CUST001676,Sale,2019-01-23,802660.28,Transfer
TRX000128,PROP000054,CUST001584,Rent,2023-08-06,432166.84,Mortgage
TRX000129,PROP002802,CUST000492,Rent,2023-10-10,1497868.45,Mortgage
TRX000130,PROP000848,CUST001082,Sale,2022-10-14,777965.93,Cash
TRX000131,PROP001973,CUST001112,Sale,2020-05-01,1574107.33,Transfer
TRX000132,PROP002127,CUST001622,Sale,2018-01-23,1953846.12,Mortgage
TRX000133,PROP000290,CUST000753,Sale,2019-03-01,812364.33,Transfer
TRX000134,PROP001402,CUST000677,Rent,2021-10-24,957462.39,Transfer
TRX000135,PROP000617,CUST002065,Sale,2018-03-18,338751.54,Mortgage
TRX000136,PROP002364,CUST001867,Sale,2023-05-05,187991.24,Cash
TRX000137,PROP001903,CUST000914,Rent,2021-05-01,159122.11,Mortgage
TRX000138,PROP001891,CUST002980,Rent,2019-06-15,1190843.34,Cash
TRX000139,PROP000627,CUST002851,Rent,2023-11-19,1181112.23,Mortgage
TRX000140,PROP000819,CUST002161,Rent,2018-08-05,1229403.69,Transfer
TRX000141,PROP002709,CUST000198,Sale,2018-07-13,1490634.6,Transfer
TRX000142,PROP002352,CUST002085,Rent,2018-09-15,199189.82,Mortgage
TRX000143,PROP000859,CUST000213,Sale,2021-06-04,555918.8,Transfer
TRX000144,PROP002999,CUST000131,Sale,2023-10-29,141617.71,Transfer
TRX000145,PROP000737,CUST002433,Rent,2021-11-02,813085.98,Cash
TRX000146,PROP002458,CUST002622,Rent,2019-09-26,303379.34,Mortgage
TRX000147,PROP000307,CUST001930,Rent,2022-06-24,603101.83,Cash
TRX000148,PROP000100,CUST002837,Rent,2023-03-17,1251687.48,Mortgage
TRX000149,PROP000967,CUST002061,Rent,2023-12-10,1010505.19,Cash
TRX000150,PROP000462,CUST002179,Rent,2022-07-24,139415.09,Cash
TRX000151,PROP001741,CUST001694,Rent,2018-04-20,1798510.99,Mortgage
TRX000152,PROP001089,CUST000237,Rent,2022-11-25,333931.85,Mortgage
TRX000153,PROP002667,CUST002778,Rent,2024-12-27,394999.6,Cash
TRX000154,PROP002089,CUST001630,Rent,2022-09-16,753278.46,Transfer
TRX000155,PROP002793,CUST000077,Sale,2023-12-24,1085182.15,Cash
TRX000156,PROP002236,CUST000216,Rent,2024-07-11,1681515.06,Cash
TRX000157,PROP001870,CUST000618,Sale,2019-06-26,960443.68,Transfer
TRX000158,PROP002854,CUST002951,Sale,2024-09-15,635217.73,Transfer
TRX000159,PROP001563,CUST000434,Sale,2021-08-01,934992.59,Cash
TRX000160,PROP000785,CUST001846,Sale,2020-11-09,1514965.89,Transfer
TRX000161,PROP000956,CUST000988,Sale,2019-09-17,1544728.02,Mortgage
TRX000162,PROP001953,CUST000823,Rent,2019-12-20,455485.07,Transfer
TRX000163,PROP000776,CUST000760,Sale,2019-05-29,580643.54,Transfer
TRX000164,PROP002624,CUST002077,Rent,2018-01-14,1866746.04,Mortgage
TRX000165,PROP002282,CUST000638,Rent,2024-03-17,146209.93,Mortgage
TRX000166,PROP002714,CUST001717,Rent,2020-04-25,920712.89,Transfer
TRX000167,PROP001942,CUST000637,Rent,2022-11-04,1604335.09,Mortgage
TRX000168,PROP000955,CUST000075,Rent,2020-02-27,533798.03,Cash
TRX000169,PROP000318,CUST002141,Rent,2018-12-22,1841233.95,Transfer
TRX000170,PROP001324,CUST002878,Sale,2022-02-18,1684490.04,Cash
TRX000171,PROP001420,CUST000248,Sale,2019-12-18,1072699.8,Mortgage
TRX000172,PROP000215,CUST002233,Rent,2020-05-19,1985862.29,Mortgage
TRX000173,PROP002414,CUST001216,Rent,2019-10-01,1457346.88,Transfer
TRX000174,PROP002586,CUST000557,Sale,2020-05-26,181845.23,Mortgage
TRX000175,PROP001911,CUST000117,Rent,2021-12-30,710290.95,Transfer
TRX000176,PROP000215,CUST001465,Rent,2021-03-14,1521281.14,Cash
TRX000177,PROP001035,CUST000564,Sale,2021-12-16,602724.28,Transfer
TRX000178,PROP002929,CUST002655,Rent,2019-08-25,661093.62,Mortgage
TRX000179,PROP001100,CUST002762,Sale,2024-08-15,1646471.52,Transfer
TRX000180,PROP002748,CUST002106,Rent,2024-12-29,688150.22,Cash
TRX000181,PROP002250,CUST001163,Rent,2021-02-26,1463064.12,Transfer
TRX000182,PROP002093,CUST001588,Sale,2021-05-05,1255980.77,Transfer
TRX000183,PROP000803,CUST001946,Rent,2024-01-28,1634946.69,Mortgage
TRX000184,PROP000267,CUST000716,Sale,2019-12-16,1570442.71,Mortgage
TRX000185,PROP001660,CUST002807,Rent,2019-06-04,1299371.54,Transfer
TRX000186,PROP000490,CUST000260,Sale,2019-12-14,1256873.67,Transfer
TRX000187,PROP001606,CUST002763,Rent,2018-03-01,516779.04,Transfer
TRX000188,PROP000726,CUST000774,Rent,2022-04-25,713227.47,Transfer
TRX000189,PROP000903,CUST002323,Rent,2023-05-09,1288508.91,Transfer
TRX000190,PROP001694,CUST001026,Rent,2024-01-14,57383.17,Transfer
TRX000191,PROP000502,CUST001094,Sale,2024-02-15,963920.36,Mortgage
TRX000192,PROP002305,CUST002641,Sale,2023-02-09,1417056.05,Cash
TRX000193,PROP001221,CUST002786,Rent,2021-07-20,1270660.56,Transfer
TRX000194,PROP000187,CUST002338,Rent,2024-12-27,612511.43,Mortgage
TRX000195,PROP000385,CUST002410,Rent,2022-08-27,1385547.12,Mortgage
TRX000196,PROP002529,CUST000395,Sale,2023-08-11,1888023.12,Cash
TRX000197,PROP000918,CUST002036,Sale,2021-09-17,1597916.43,Cash
TRX000198,PROP000331,CUST001056,Rent,2023-09-03,1655248.14,Mortgage
TRX000199,PROP002849,CUST001033,Sale,2021-10-05,1776057.28,Cash
TRX000200,PROP000916,CUST001192,Sale,2021-05-02,174732.0,Transfer
TRX000201,PROP002750,CUST001293,Rent,2022-10-23,1674554.82,Mortgage
TRX000202,PROP001349,CUST002641,Sale,2018-01-16,1935824.44,Mortgage
TRX000203,PROP000140,CUST000089,Rent,2020-04-19,1107441.16,Cash
TRX000204,PROP001844,CUST001768,Rent,2022-10-07,1634506.26,Mortgage
TRX000205,PROP002918,CUST000406,Rent,2023-04-30,1349413.21,Cash
TRX000206,PROP002249,CUST002994,Rent,2020-04-01,912879.83,Cash
TRX000207,PROP000291,CUST000584,Sale,2022-03-27,331470.83,Mortgage
TRX000208,PROP002828,CUST001945,Sale,2023-06-23,1504859.34,Mortgage
TRX000209,PROP001128,CUST000910,Rent,2021-04-14,1741904.53,Transfer
TRX000210,PROP001768,CUST001548,Sale,2019-07-28,1685831.28,Mortgage
TRX000211,PROP002105,CUST000253,Rent,2020-01-06,1297135.57,Cash
TRX000212,PROP002843,CUST000066,Rent,2019-07-24,474559.5,Transfer
TRX000213,PROP001808,CUST002954,Sale,2023-12-19,1907330.28,Mortgage
TRX000214,PROP001454,CUST001663,Sale,2019-06-12,400734.61,Mortgage
TRX000215,PROP002717,CUST001598,Rent,2019-02-15,983886.98,Transfer
TRX000216,PROP002009,CUST001209,Sale,2020-05-09,1284416.37,Mortgage
TRX000217,PROP001827,CUST002285,Sale,2023-08-08,817983.66,Mortgage
TRX000218,PROP001116,CUST002894,Rent,2023-12-15,1271435.22,Transfer
TRX000219,PROP002236,CUST002890,Sale,2022-10-30,1663896.89,Mortgage
TRX000220,PROP000134,CUST001091,Sale,2022-12-22,849349.7,Mortgage
TRX000221,PROP000579,CUST000208,Sale,2020-09-14,729822.97,Mortgage
TRX000222,PROP002669,CUST002227,Sale,2024-05-01,1195753.09,Mortgage
TRX000223,PROP001343,CUST001899,Rent,2023-04-10,1023358.6,Mortgage
TRX000224,PROP002757,CUST002083,Rent,2019-01-18,1379026.05,Mortgage
TRX000225,PROP000750,CUST003000,Sale,2018-01-07,819661.02,Mortgage
TRX000226,PROP002290,CUST001621,Sale,2022-02-12,1778456.47,Mortgage
TRX000227,PROP002233,CUST002308,Sale,2022-04-17,1088356.26,Transfer
TRX000228,PROP000300,CUST000934,Rent,2018-02-15,787738.91,Transfer
TRX000229,PROP000181,CUST000325,Sale,2021-04-08,1705575.99,Transfer
TRX000230,PROP001709,CUST001612,Rent,2024-05-25,839410.02,Mortgage
TRX000231,PROP000677,CUST001512,Sale,2021-03-29,1766860.07,Mortgage
TRX000232,PROP001926,CUST002291,Sale,2024-02-17,1476654.07,Mortgage
TRX000233,PROP001684,CUST001411,Sale,2018-04-03,536026.99,Cash
TRX000234,PROP001223,CUST001789,Rent,2020-09-29,1809996.6,Mortgage
TRX000235,PROP002389,CUST001338,Sale,2023-03-03,297774.07,Cash
TRX000236,PROP001193,CUST001638,Sale,2018-11-29,538582.59,Cash
TRX000237,PROP002267,CUST002760,Rent,2021-12-30,1094760.89,Mortgage
TRX000238,PROP000882,CUST002525,Sale,2021-12-26,1166501.99,Transfer
TRX000239,PROP000775,CUST001108,Rent,2022-01-10,325392.97,Transfer
TRX000240,PROP002437,CUST002023,Sale,2024-09-20,1710230.17,Cash
TRX000241,PROP000581,CUST001857,Rent,2019-03-16,953125.61,Mortgage
TRX000242,PROP000703,CUST001066,Rent,2024-10-22,815873.92,Mortgage
TRX000243,PROP002015,CUST000111,Rent,2020-06-09,776069.65,Transfer
TRX000244,PROP002443,CUST001744,Rent,2024-07-16,281652.74,Cash
TRX000245,PROP002453,CUST000466,Sale,2023-04-26,857434.5,Cash
TRX000246,PROP001397,CUST001020,Rent,2021-04-21,1781850.56,Mortgage
TRX000247,PROP000270,CUST000124,Sale,2023-09-30,1370926.11,Transfer
TRX000248,PROP002240,CUST002402,Sale,2023-06-15,1115539.81,Mortgage
TRX000249,PROP000452,CUST001948,Sale,2019-02-09,1725456.34,Cash
TRX000250,PROP002414,CUST000308,Rent,2018-07-22,1067129.19,Cash
TRX000251,PROP002799,CUST002208,Rent,2024-03-12,1973983.81,Transfer
TRX000252,PROP001427,CUST001368,Rent,2023-04-15,967246.55,Cash
TRX000253,PROP001097,CUST000649,Sale,2021-05-01,565472.65,Cash
TRX000254,PROP000904,CUST001051,Rent,2018-06-08,155276.28,Transfer
TRX000255,PROP002849,CUST000679,Sale,2021-10-27,1553856.47,Mortgage
TRX000256,PROP001962,CUST000165,Sale,2022-04-03,1014699.88,Cash
TRX000257,PROP000550,CUST001364,Sale,2019-08-19,182873.96,Cash
TRX000258,PROP000344,CUST001943,Sale,2021-01-05,1494686.2,Mortgage
TRX000259,PROP000049,CUST001495,Rent,2020-10-16,1655305.64,Mortgage
TRX000260,PROP001311,CUST000527,Sale,2023-05-02,1098676.31,Mortgage
TRX000261,PROP000855,CUST002070,Sale,2023-06-13,149855.11,Cash
TRX000262,PROP000240,CUST001369,Sale,2020-02-24,850160.03,Cash
TRX000263,PROP001375,CUST000523,Sale,2018-05-11,537771.58,Transfer
TRX000264,PROP002744,CUST000854,Sale,2019-11-27,1141749.22,Cash
TRX000265,PROP001949,CUST002701,Rent,2023-03-23,317634.74,Mortgage
TRX000266,PROP000198,CUST000875,Rent,2024-02-24,591130.97,Cash
TRX000267,PROP001545,CUST000596,Sale,2023-10-17,913765.54,Mortgage
TRX000268,PROP001961,CUST001337,Sale,2021-07-01,143362.77,Mortgage
TRX000269,PROP001694,CUST001205,Rent,2018-01-12,511217.97,Transfer
TRX000270,PROP001919,CUST001065,Sale,2020-12-01,1401320.49,Cash
TRX000271,PROP002978,CUST001175,Sale,2020-06-03,223024.55,Transfer
TRX000272,PROP000784,CUST000413,Sale,2021-10-09,1140508.73,Transfer
TRX000273,PROP002543,CUST000714,Sale,2023-07-21,495125.13,Cash
TRX000274,PROP000609,CUST001250,Rent,2023-06-19,639091.8,Cash
TRX000275,PROP001884,CUST001249,Sale,2021-10-05,1147572.75,Transfer
TRX000276,PROP001779,CUST000177,Sale,2018-06-07,104205.63,Mortgage
TRX000277,PROP000067,CUST001456,Rent,2024-11-10,345556.41,Transfer
TRX000278,PROP001879,CUST001048,Sale,2022-10-21,835945.69,Transfer
TRX000279,PROP002196,CUST000873,Sale,2022-05-06,620613.7,Mortgage
TRX000280,PROP000752,CUST001120,Rent,2020-04-29,358816.08,Cash
TRX000281,PROP002050,CUST001146,Rent,2019-09-27,1145574.23,Transfer
TRX000282,PROP000835,CUST002986,Sale,2024-08-15,598251.53,Mortgage
TRX000283,PROP000497,CUST000885,Sale,2021-05-19,1148585.51,Transfer
TRX000284,PROP001754,CUST002732,Rent,2018-02-26,1222809.13,Mortgage
TRX000285,PROP001191,CUST002330,Sale,2023-04-22,1427209.87,Cash
TRX000286,PROP002231,CUST002338,Rent,2019-09-28,1692831.96,Transfer
TRX000287,PROP001098,CUST000712,Rent,2018-02-21,519734.65,Cash
TRX000288,PROP001569,CUST001939,Sale,2022-08-20,1110566.88,Mortgage
TRX000289,PROP000337,CUST000462,Sale,2022-04-24,1040312.1,Mortgage
TRX000290,PROP002974,CUST002993,Rent,2021-11-29,1600756.74,Cash
TRX000291,PROP002405,CUST001041,Sale,2022-12-07,341401.54,Cash
TRX000292,PROP001173,CUST002915,Rent,2019-02-09,1119268.47,Transfer
TRX000293,PROP002858,CUST002132,Sale,2021-12-04,274218.6,Cash
TRX000294,PROP000148,CUST000053,Rent,2022-02-27,371006.7,Mortgage
TRX000295,PROP001545,CUST002489,Sale,2024-05-22,1358866.64,Cash
TRX000296,PROP002993,CUST002885,Sale,2021-07-27,360346.89,Mortgage
TRX000297,PROP000039,CUST001763,Rent,2024-03-15,235462.42,Mortgage
TRX000298,PROP001066,CUST002469,Rent,2022-06-23,778038.65,Cash
TRX000299,PROP002161,CUST000126,Sale,2022-09-05,1132784.52,Mortgage
TRX000300,PROP001783,CUST000209,Rent,2020-04-19,733344.25,Transfer
TRX000301,PROP002790,CUST000530,Sale,2020-01-30,1046526.08,Cash
TRX000302,PROP000276,CUST002723,Sale,2020-03-01,348706.63,Mortgage
TRX000303,PROP002493,CUST002971,Sale,2020-09-27,1025768.59,Cash
TRX000304,PROP000907,CUST000501,Rent,2020-11-28,455150.46,Mortgage
TRX000305,PROP001306,CUST001030,Rent,2019-03-23,1265150.22,Mortgage
TRX000306,PROP002650,CUST001048,Rent,2018-04-02,1357419.87,Transfer
TRX000307,PROP001672,CUST000849,Rent,2022-11-02,840567.39,Transfer
TRX000308,PROP001405,CUST002921,Rent,2018-08-18,672391.3,Cash
TRX000309,PROP001382,CUST000753,Sale,2019-11-12,1695099.46,Cash
TRX000310,PROP001326,CUST000405,Rent,2023-05-25,609647.58,Transfer
TRX000311,PROP001130,CUST002568,Sale,2021-03-03,1910981.65,Cash
TRX000312,PROP002620,CUST000434,Rent,2020-11-22,442646.03,Transfer
TRX000313,PROP001988,CUST002456,Rent,2022-05-07,531176.63,Transfer
TRX000314,PROP002708,CUST002796,Rent,2020-07-15,627451.03,Transfer
TRX000315,PROP002792,CUST000200,Rent,2018-07-15,1373570.67,Transfer
TRX000316,PROP001426,CUST001475,Rent,2018-11-18,527014.45,Mortgage
TRX000317,PROP000375,CUST000855,Sale,2022-09-26,777683.75,Transfer
TRX000318,PROP000461,CUST000047,Sale,2021-07-29,1889039.51,Cash
TRX000319,PROP002184,CUST001397,Rent,2022-02-01,1423690.52,Transfer
TRX000320,PROP001679,CUST000730,Sale,2020-04-19,771704.25,Transfer
TRX000321,PROP001256,CUST002681,Rent,2023-05-29,783218.21,Cash
TRX000322,PROP002398,CUST002427,Rent,2020-06-18,783344.42,Transfer
TRX000323,PROP000413,CUST001125,Rent,2023-10-27,51632.29,Mortgage
TRX000324,PROP001987,CUST001087,Sale,2024-12-18,994553.65,Mortgage
TRX000325,PROP002315,CUST001563,Sale,2022-05-16,1718580.74,Transfer
TRX000326,PROP002246,CUST002254,Rent,2021-11-03,1741651.5,Transfer
TRX000327,PROP000975,CUST002146,Rent,2024-06-05,948698.77,Cash
TRX000328,PROP001784,CUST000575,Sale,2022-10-08,1123427.53,Cash
TRX000329,PROP001029,CUST000173,Rent,2021-01-28,1761159.08,Mortgage
TRX000330,PROP002841,CUST001376,Rent,2021-10-10,1418119.88,Mortgage
TRX000331,PROP002260,CUST002354,Rent,2019-05-17,1999443.0,Mortgage
TRX000332,PROP002588,CUST002652,Rent,2019-12-29,1896201.83,Cash
TRX000333,PROP001275,CUST001510,Sale,2024-09-02,1242408.2,Cash
TRX000334,PROP000987,CUST000291,Rent,2020-01-31,1471823.45,Cash
TRX000335,PROP001641,CUST002917,Sale,2023-07-04,310252.52,Transfer
TRX000336,PROP002235,CUST002347,Sale,2020-11-15,1319435.08,Mortgage
TRX000337,PROP001925,CUST001722,Sale,2024-04-09,1772774.37,Transfer
TRX000338,PROP000672,CUST000190,Rent,2023-01-21,534342.26,Cash
TRX000339,PROP001441,CUST000587,Rent,2019-11-04,1959331.82,Cash
TRX000340,PROP001630,CUST001059,Sale,2019-11-16,1473019.85,Mortgage
TRX000341,PROP000120,CUST002647,Rent,2019-02-28,1240574.82,Transfer
TRX000342,PROP001537,CUST002073,Sale,2022-04-14,1873552.73,Cash
TRX000343,PROP000954,CUST001846,Rent,2021-08-07,1200765.49,Cash
TRX000344,PROP002224,CUST001292,Sale,2023-04-30,144364.76,Transfer
TRX000345,PROP002818,CUST002747,Sale,2018-03-19,548440.78,Cash
TRX000346,PROP000631,CUST001918,Rent,2022-08-06,1496604.83,Mortgage
TRX000347,PROP000327,CUST002911,Sale,2019-02-12,1295856.31,Mortgage
TRX000348,PROP000943,CUST002863,Rent,2023-12-22,1418687.67,Mortgage
TRX000349,PROP001440,CUST002238,Sale,2024-09-04,211072.11,Cash
TRX000350,PROP000575,CUST001860,Sale,2022-10-05,501492.52,Mortgage
TRX000351,PROP000529,CUST002922,Rent,2019-04-21,1153364.51,Cash
TRX000352,PROP001709,CUST000487,Rent,2024-05-26,690244.34,Transfer
